Package,LibPath,Version,Priority,Built
iterators,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.10,NA,3.6.0
jpeg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-8,NA,3.6.0
jsonify,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
jsonlite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6,NA,3.6.0
jsonvalidate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
kableExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
kernlab,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-27,NA,3.6.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.23-15,recommended,3.6.0
keyring,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
knitr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.25,NA,3.6.0
labeling,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3,NA,3.6.0
later,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
lattice,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.20-38,recommended,3.6.0
latticeExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6-28,NA,3.6.0
lava,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6.6,NA,3.6.0
lazyeval,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.2,NA,3.6.0
leafem,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.1,NA,3.6.0
leaflet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
leaflet.extras,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
leaflet.providers,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.9.0,NA,3.6.0
leafpm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
leafpop,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.1,NA,3.6.0
lemon,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.3,NA,3.6.0
lifecycle,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
listenv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.0,NA,3.6.0
listviewer,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.0,NA,3.6.0
lme4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-21,NA,3.6.0
lubridate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.4,NA,3.6.0
lwgeom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-7,NA,3.6.0
magic,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5-9,NA,3.6.0
magrittr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5,NA,3.6.0
mapdata,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3.0,NA,3.6.0
mapedit,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
mapit,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.1,NA,3.6.0
maps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3.0,NA,3.6.0
maptools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-5,NA,3.6.0
mapview,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.7.0,NA,3.6.0
markdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
MASS,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-51.4,recommended,3.6.0
Matrix,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2-17,recommended,3.6.0
MatrixModels,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-1,NA,3.6.0
mclust,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.4.5,NA,3.6.0
memoise,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
methods,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
mgcv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8-28,recommended,3.6.0
mime,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8,NA,3.6.0
miniUI,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.1.1,NA,3.6.0
